"id","titulo","guia_id"
542,"Taxa de Readmissão em UTI (↓) (48 Horas) ",NULL
543,"Taxa de Amostra de Sangue Descartada por Lipemia (↓)",NULL
544,"Taxa de Recaída (3 Meses)  (↓)",NULL
545,"Percentual de Ocorrência de Glosas no SIH-SUS (↓)",NULL
546,"Produto Interno Bruto per Capita (PIB)",NULL
547,"Índice de Produção de Hemocomponentes (↑)",NULL
548,"Percentual de Cumprimento de Visita Técnica e Administrativa nas Unidades Assistidas pelo Hemocentro Coordenador (↑)",NULL
549,"Percentual de Atendimento Externo às Solicitações de Hemocomponentes (↑) ",NULL
550,"Incidência de Hepatite C (↓)",NULL
551,"Percentual de Encaminhamentos para Atendimento Especializado (↓)",NULL
552,"Incidência de Hepatite B (↓)",NULL
553,"Taxa de Detecção de Hepatite B (↑)",NULL
554,"Percentual de Divergência de Estoque Físico e Virtual de Medicamentos do Componente Especializado da Assistência Farmacêutica no Balanço Quinzenal (↓)",NULL
555,"Número de Pacientes Habilitados no Serviço de Atenção Domiciliar Estadual  (SAD) (↑)",NULL
556,"Proporção de Cura dos Casos Novos de Hanseníase Diagnosticados nos Anos das Coortes (↑)",NULL
557,"Número Absoluto de Casos de Sarampo Confirmados (↓)",NULL
558,"Prevalência de Excesso de Peso em Adultos (↓) ",NULL
559,"Prevalência de Excesso de Peso para Idade Segundo IMC em Crianças Menores de 5 Anos (↓)",NULL
560,"iRAPS – Índice da Rede de Atenção Psicossocial (↑)",NULL
561,"Percentual de Manifestações Queixosas Recebidas no Sistema de Ouvidoria do SUS (↓)",NULL
562,"Percentual de Execução de Cirurgias Eletivas Ambulatoriais (BPA) (↑)",NULL
563,"Razão de Consultas de Enfermeiros em Relação as Consultas Médicas (↑)",NULL
564,"Esperança de Vida ao Nascer (↑)",NULL
565,"Percentual de Manifestações da Unidade de Saúde Respondidas no Prazo Legal (↑)",NULL
566,"Proporção de Internações por Condições Sensíveis à Atenção Básica - ICSAB (↓)",NULL
567,"Percentual de Casos de Doenças/ Agravos/ Eventos de Notificação Compulsória Imediata (DNCI) Investigadas Oportunamente (↑)",NULL
568,"Taxa de Incidência de Tuberculose Todas as Formas (↓) ",NULL
569," Número de Saídas Cirúrgicas (↑)",NULL
570,"Número de Consultas Médicas Ambulatoriais Realizadas (↑)",NULL
571,"Razão de Mortalidade Materna - RMM (↓)",NULL
572,"Número de Consultas Multiprofissionais Ambulatoriais Realizadas (↑)",NULL
573,"Número de Saídas Clínicas (↑)",NULL
