TAREFA_ID,FONTE_DADOS,HORAS_EXECUTADAS,HORAS_ESTIMADAS_SKLEARN,HORAS_ESTIMADAS_NUMPY,ERRO_SKLEARN,ERRO_ABSOLUTO_SKLEARN,ERRO_QUADRATICO_SKLEARN,ERRO_PERCENTUAL_SKLEARN,ERRO_NUMPY,ERRO_ABSOLUTO_NUMPY,ERRO_QUADRATICO_NUMPY,ERRO_PERCENTUAL_NUMPY,DIFERENCA_MODELOS,MODELO_MAIS_PROXIMO,MODEL_SCOPE,FEATURE_SET_NAME,DATA_ANALISE
84428,SNOWFLAKE,0.0,0.66,0.59,0.66,0.66,0.4356,,0.59,0.59,0.3481,,0.07,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
85202,SNOWFLAKE,2.0,2.09,1.51,0.09,0.09,0.0081,4.5,-0.49,0.49,0.2401,24.5,0.58,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
82661,SNOWFLAKE,1.0,0.86,0.78,-0.14,0.14,0.0196,14.0,-0.22,0.22,0.0484,22.0,0.08,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
28214,SNOWFLAKE,0.5,0.87,0.79,0.37,0.37,0.1369,74.0,0.29,0.29,0.0841,58.0,0.08,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
142097,SNOWFLAKE,0.5,0.68,0.67,0.18,0.18,0.0324,36.0,0.17,0.17,0.0289,34.0,0.01,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
165102,SNOWFLAKE,0.0,0.5,0.5,0.5,0.5,0.25,,0.5,0.5,0.25,,0.0,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
82892,SNOWFLAKE,1.0,1.07,1.06,0.07,0.07,0.0049,7.0,0.06,0.06,0.0036,6.0,0.01,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
44294,SNOWFLAKE,2.0,1.79,1.13,-0.21,0.21,0.0441,10.5,-0.87,0.87,0.7569,43.5,0.66,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
35226,SNOWFLAKE,8.0,6.71,5.13,-1.29,1.29,1.6641,16.12,-2.87,2.87,8.2369,35.88,1.58,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
134020,SNOWFLAKE,1.0,0.86,0.79,-0.14,0.14,0.0196,14.0,-0.21,0.21,0.0441,21.0,0.07,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
151544,SNOWFLAKE,8.0,6.72,5.13,-1.28,1.28,1.6384,16.0,-2.87,2.87,8.2369,35.88,1.59,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
22352,SNOWFLAKE,0.5,0.87,0.79,0.37,0.37,0.1369,74.0,0.29,0.29,0.0841,58.0,0.08,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
7635,SNOWFLAKE,0.45,0.87,0.79,0.42,0.42,0.1764,93.33,0.34,0.34,0.1156,75.56,0.08,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
85795,SNOWFLAKE,2.0,1.68,1.29,-0.32,0.32,0.1024,16.0,-0.71,0.71,0.5041,35.5,0.39,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
74269,SNOWFLAKE,1.0,0.87,1.04,-0.13,0.13,0.0169,13.0,0.04,0.04,0.0016,4.0,0.17,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
68418,SNOWFLAKE,1.0,0.81,0.7,-0.19,0.19,0.0361,19.0,-0.3,0.3,0.09,30.0,0.11,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
41620,SNOWFLAKE,2.0,1.91,1.06,-0.09,0.09,0.0081,4.5,-0.94,0.94,0.8836,47.0,0.85,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
143354,SNOWFLAKE,1.0,0.88,0.5,-0.12,0.12,0.0144,12.0,-0.5,0.5,0.25,50.0,0.38,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
36115,SNOWFLAKE,4.0,5.42,4.56,1.42,1.42,2.0164,35.5,0.56,0.56,0.3136,14.0,0.86,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
162114,SNOWFLAKE,4.0,3.55,0.85,-0.45,0.45,0.2025,11.25,-3.15,3.15,9.9225,78.75,2.7,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
72173,SNOWFLAKE,1.0,0.66,0.5,-0.34,0.34,0.1156,34.0,-0.5,0.5,0.25,50.0,0.16,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
137537,SNOWFLAKE,4.0,3.64,3.53,-0.36,0.36,0.1296,9.0,-0.47,0.47,0.2209,11.75,0.11,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
37722,SNOWFLAKE,2.0,1.67,1.28,-0.33,0.33,0.1089,16.5,-0.72,0.72,0.5184,36.0,0.39,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
67993,SNOWFLAKE,14.0,15.11,12.75,1.11,1.11,1.2321,7.93,-1.25,1.25,1.5625,8.93,2.36,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
68312,SNOWFLAKE,1.0,0.85,0.78,-0.15,0.15,0.0225,15.0,-0.22,0.22,0.0484,22.0,0.07,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
33875,SNOWFLAKE,1.0,0.5,0.95,-0.5,0.5,0.25,50.0,-0.05,0.05,0.0025,5.0,0.45,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
123538,SNOWFLAKE,1.0,0.86,0.79,-0.14,0.14,0.0196,14.0,-0.21,0.21,0.0441,21.0,0.07,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
123892,SNOWFLAKE,2.0,2.09,1.51,0.09,0.09,0.0081,4.5,-0.49,0.49,0.2401,24.5,0.58,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
18075,SNOWFLAKE,4.0,8.39,6.53,4.39,4.39,19.2721,109.75,2.53,2.53,6.4009,63.25,1.86,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
157075,SNOWFLAKE,6.0,5.9,5.0,-0.1,0.1,0.01,1.67,-1.0,1.0,1.0,16.67,0.9,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
140682,SNOWFLAKE,1.0,0.84,0.8,-0.16,0.16,0.0256,16.0,-0.2,0.2,0.04,20.0,0.04,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
109647,SNOWFLAKE,1.0,0.87,0.79,-0.13,0.13,0.0169,13.0,-0.21,0.21,0.0441,21.0,0.08,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
17091,SNOWFLAKE,1.0,3.54,3.46,2.54,2.54,6.4516,254.0,2.46,2.46,6.0516,246.0,0.08,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
127067,SNOWFLAKE,1.0,1.57,0.76,0.57,0.57,0.3249,57.0,-0.24,0.24,0.0576,24.0,0.81,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
29017,SNOWFLAKE,0.3,0.5,1.15,0.2,0.2,0.04,66.67,0.85,0.85,0.7225,283.33,0.65,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
7865,SNOWFLAKE,0.1,0.5,0.62,0.4,0.4,0.16,400.0,0.52,0.52,0.2704,520.0,0.12,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
75692,SNOWFLAKE,1.0,0.86,0.75,-0.14,0.14,0.0196,14.0,-0.25,0.25,0.0625,25.0,0.11,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 16:31:05.233126
