TAREFA_ID,FONTE_DADOS,HORAS_EXECUTADAS,HORAS_ESTIMADAS_SKLEARN,HORAS_ESTIMADAS_NUMPY,ERRO_SKLEARN,ERRO_ABSOLUTO_SKLEARN,ERRO_QUADRATICO_SKLEARN,ERRO_PERCENTUAL_SKLEARN,ERRO_NUMPY,ERRO_ABSOLUTO_NUMPY,ERRO_QUADRATICO_NUMPY,ERRO_PERCENTUAL_NUMPY,DIFERENCA_MODELOS,MODELO_MAIS_PROXIMO,MODEL_SCOPE,FEATURE_SET_NAME,DATA_ANALISE
19335,SNOWFLAKE,3.0,4.46,4.39,1.46,1.46,2.1316,48.67,1.39,1.39,1.9321,46.33,0.07,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
6787,SNOWFLAKE,1.0,0.86,0.86,-0.14,0.14,0.0196,14.0,-0.14,0.14,0.0196,14.0,0.0,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
90320,SNOWFLAKE,2.0,1.89,2.16,-0.11,0.11,0.0121,5.5,0.16,0.16,0.0256,8.0,0.27,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
8255,SNOWFLAKE,1.0,9.21,6.83,8.21,8.21,67.4041,821.0,5.83,5.83,33.9889,583.0,2.38,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
132140,SNOWFLAKE,6.0,4.43,3.95,-1.57,1.57,2.4649,26.17,-2.05,2.05,4.2025,34.17,0.48,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
142102,SNOWFLAKE,1.0,0.8,1.0,-0.2,0.2,0.04,20.0,0.0,0.0,0.0,0.0,0.2,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
103932,SNOWFLAKE,4.0,3.69,3.87,-0.31,0.31,0.0961,7.75,-0.13,0.13,0.0169,3.25,0.18,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
70242,SNOWFLAKE,4.0,3.73,3.15,-0.27,0.27,0.0729,6.75,-0.85,0.85,0.7225,21.25,0.58,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
87921,SNOWFLAKE,1.0,0.5,0.5,-0.5,0.5,0.25,50.0,-0.5,0.5,0.25,50.0,0.0,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
81850,SNOWFLAKE,8.0,6.99,6.64,-1.01,1.01,1.0201,12.62,-1.36,1.36,1.8496,17.0,0.35,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
151688,SNOWFLAKE,10.0,6.81,6.05,-3.19,3.19,10.1761,31.9,-3.95,3.95,15.6025,39.5,0.76,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
91880,SNOWFLAKE,2.0,1.93,1.95,-0.07,0.07,0.0049,3.5,-0.05,0.05,0.0025,2.5,0.02,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
141188,SNOWFLAKE,5.0,4.45,4.5,-0.55,0.55,0.3025,11.0,-0.5,0.5,0.25,10.0,0.05,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
6774,SNOWFLAKE,0.27,0.75,0.87,0.48,0.48,0.2304,177.78,0.6,0.6,0.36,222.22,0.12,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
66226,SNOWFLAKE,2.5,1.91,2.27,-0.59,0.59,0.3481,23.6,-0.23,0.23,0.0529,9.2,0.36,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
65003,SNOWFLAKE,4.0,3.86,3.22,-0.14,0.14,0.0196,3.5,-0.78,0.78,0.6084,19.5,0.64,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
68769,SNOWFLAKE,0.0,0.5,0.5,0.5,0.5,0.25,,0.5,0.5,0.25,,0.0,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
94930,SNOWFLAKE,8.0,7.46,9.18,-0.54,0.54,0.2916,6.75,1.18,1.18,1.3924,14.75,1.72,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
115290,SNOWFLAKE,37.0,28.88,28.81,-8.12,8.12,65.9344,21.95,-8.19,8.19,67.0761,22.14,0.07,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
58413,SNOWFLAKE,1.0,0.78,1.08,-0.22,0.22,0.0484,22.0,0.08,0.08,0.0064,8.0,0.3,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
13421,SNOWFLAKE,1.85,2.11,3.83,0.26,0.26,0.0676,14.05,1.98,1.98,3.9204,107.03,1.72,SKLEARN,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
8669,SNOWFLAKE,1.0,0.84,0.92,-0.16,0.16,0.0256,16.0,-0.08,0.08,0.0064,8.0,0.08,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
81054,SNOWFLAKE,1.0,0.84,0.93,-0.16,0.16,0.0256,16.0,-0.07,0.07,0.0049,7.0,0.09,NUMPY,retrospective_analysis,retrospective_features_v1,2026-08-14 21:49:19.828562
